sport,epreuve,classement,medaille,equipe,participant,resultats,note
Natation,100m dos femmes,11,11,CHN,Xueer WANG,,
Natation,100m dos femmes,12,12,CHN,Letian WAN,,
Natation,100m dos femmes,13,13,NED,Maaike DE WAARD,,
Natation,100m dos femmes,14,14,NED,Kira TOUSSAINT,,
Natation,100m dos femmes,15,15,SWE,Louise HANSSON,,
Natation,100m dos femmes,16,16,IRL,Danielle HILL,,
Natation,100m dos femmes,17,17,POL,Adela PISKORSKA,,
Natation,100m dos femmes,18,18,GBR,Kathleen DAWSON,,
Natation,100m dos femmes,19,19,GBR,Medi Eira HARRIS,,
Natation,100m dos femmes,20,20,MIX,Anastasiya SHKURDAI,,
Natation,100m dos femmes,21,21,MEX,Celia PULIDO ORTIZ,,
Natation,100m dos femmes,22,22,UKR,Nika SHARAFUTDINOVA,,
Natation,100m dos femmes,23,23,BER,Emma HARVEY,,
Natation,100m dos femmes,24,24,BUL,Gabriela GEORGIEVA,,
Natation,100m dos femmes,25,25,ISR,Aviv BARZELAY,,
Natation,100m dos femmes,26,26,KAZ,Xeniya IGNATOVA,,
Natation,100m dos femmes,27,27,TTO,Zuri FERGUSON,,
Natation,100m dos femmes,28,28,GUA,Lucero MEJIA,,
Natation,100m dos femmes,29,29,HKG,Sum Yuet Cindy CHEUNG,,
Natation,100m dos femmes,30,30,SRI,Ganga SENAVIRATHNE,,
Natation,100m dos femmes,31,31,BRN,Amani ALOBAIDLI,,
Natation,100m dos femmes,32,32,ESA,Carmen Celina MARQUEZ ORELLANA,,
Natation,100m dos femmes,33,33,DOM,Elizabeth JIMENEZ,,
Natation,100m dos femmes,34,34,MOZ,Denise DONELLI,,
Natation,100m dos femmes,35,35,TKM,Aynura PRIMOVA,,
Natation,100m dos femmes,36,36,LBA,Mek ALMUKHTAR,,
Tir,50m carabine 3 positions femme,1,O,SUI,Chiara LEONE,464.4,
Tir,50m carabine 3 positions femme,2,A,USA,Sagen MADDALENA,463.0,
Tir,50m carabine 3 positions femme,3,B,CHN,Qiongyue ZHANG,452.9,
Tir,50m carabine 3 positions femme,4,4,NOR,Jeanette Hegg DUESTAD,442.5,
Tir,50m carabine 3 positions femme,5,5,AUT,Nadine UNGERANK,432.1,
Tir,50m carabine 3 positions femme,6,6,POL,Natalia KOCHANSKA,418.5,
Tir,50m carabine 3 positions femme,7,7,MGL,Yesugen OYUNBAT,407.6,
Tir,50m carabine 3 positions femme,8,8,DEN,Stephanie Laura Scurrah GRUNDSOEE,406.4,
Tir,50m carabine 3 positions femme,9,9,GER,Jolyn BEER,,
Tir,50m carabine 3 positions femme,10,10,KAZ,Alexandra LE,,
Tir,50m carabine 3 positions femme,11,11,GER,Anna JANSSEN,,
Tir,50m carabine 3 positions femme,12,12,GBR,Seonaid MCINTOSH,,
Tir,50m carabine 3 positions femme,13,13,KAZ,Arina ALTUKHOVA,,
Tir,50m carabine 3 positions femme,14,14,DEN,Rikke Maeng IBSEN,,
Tir,50m carabine 3 positions femme,15,15,NOR,Jenny STENE,,
Tir,50m carabine 3 positions femme,16,16,CZE,Veronika BLAZICKOVA,,
Tir,50m carabine 3 positions femme,17,17,FRA,Judith GOMEZ,,
Tir,50m carabine 3 positions femme,18,18,IND,Anjum MOUDGIL,,
Tir,50m carabine 3 positions femme,19,19,KOR,Eunseo LEE,,
Tir,50m carabine 3 positions femme,20,20,POL,Aleksandra Anna PIETRUK,,
Tir,50m carabine 3 positions femme,21,21,SUI,Nina CHRISTEN,,
Tir,50m carabine 3 positions femme,22,22,BRA,Geovana MEYER,,
Tir,50m carabine 3 positions femme,23,23,ITA,Barbara GAMBARO,,
Tir,50m carabine 3 positions femme,24,24,MIX,Darya CHUPRYS,,
Tir,50m carabine 3 positions femme,25,25,USA,Mary Carolynn TUCKER,,
Tir,50m carabine 3 positions femme,26,26,PUR,Yarimar MERCADO MARTINEZ,,
Tir,50m carabine 3 positions femme,27,27,CHN,Jiayu HAN,,
Tir,50m carabine 3 positions femme,28,28,CUB,Lisbet HERNANDEZ HERNANDEZ,,
Tir,50m carabine 3 positions femme,29,29,HUN,Eszter MESZAROS,,
Tir,50m carabine 3 positions femme,30,30,KOR,Hana IM,,
Tir,50m carabine 3 positions femme,31,31,IND,Sift Kaur SAMRA,,
Tir,50m carabine 3 positions femme,32,32,CAN,Shannon WESTLAKE,,
Gymnastique-artistique,Concours general femmes,1,O,USA,Simone BILES,59.131,
Gymnastique-artistique,Concours general femmes,2,A,BRA,Rebeca ANDRADE,57.932,
Gymnastique-artistique,Concours general femmes,3,B,USA,Sunisa LEE,56.465,
Gymnastique-artistique,Concours general femmes,4,4,ITA,Alice D'AMATO,56.333,
Gymnastique-artistique,Concours general femmes,5,5,ALG,Kaylia NEMOUR,55.899,
Gymnastique-artistique,Concours general femmes,6,6,CAN,Elsabeth BLACK,54.799,
Gymnastique-artistique,Concours general femmes,7,7,CHN,Qiyuan QIU,54.766,
Gymnastique-artistique,Concours general femmes,8,8,GER,Helen KEVRIC,54.598,
Gymnastique-artistique,Concours general femmes,9,9,BRA,Flavia SARAIVA,54.032,
Gymnastique-artistique,Concours general femmes,10,10,NED,Naomi VISSER,53.965,
Gymnastique-artistique,Concours general femmes,11,11,JPN,Rina KISHI,53.965,
Gymnastique-artistique,Concours general femmes,12,12,GBR,Alice KINSELLA,53.799,
Gymnastique-artistique,Concours general femmes,13,13,AUS,Ruby PASS,53.798,
Gymnastique-artistique,Concours general femmes,14,14,ITA,Manila ESPOSITO,53.599,
Gymnastique-artistique,Concours general femmes,15,15,JPN,Haruka NAKAMURA,53.099,
Gymnastique-artistique,Concours general femmes,16,16,CHN,Yushan OU,52.898,
Gymnastique-artistique,Concours general femmes,17,17,ROU,Ana BARBOSU,52.465,
Gymnastique-artistique,Concours general femmes,18,18,GBR,Georgia-Mae FENTON,51.766,
Gymnastique-artistique,Concours general femmes,19,19,CAN,Ava STEWART,51.632,
Gymnastique-artistique,Concours general femmes,20,20,POR,Filipa MARTINS,51.232,
Gymnastique-artistique,Concours general femmes,21,21,HUN,Bettina Lili CZIFRA,51.099,
Gymnastique-artistique,Concours general femmes,22,22,ROU,Amalia GHIGOARTA,50.732,
Gymnastique-artistique,Concours general femmes,23,23,COL,Luisa BLANCO,50.199,
Gymnastique-artistique,Concours general femmes,24,24,GER,Sarah VOSS,49.999,
Gymnastique-artistique,Concours general femmes,25,,AUT,Charlize MOERZ,,
Gymnastique-artistique,Concours general femmes,26,,RSA,Caitlin ROOSKRANTZ,,
Gymnastique-artistique,Concours general femmes,27,,NZL,Georgia-Rose BROWN,,
Gymnastique-artistique,Concours general femmes,28,,KOR,Solyi SHIN,,
Gymnastique-artistique,Concours general femmes,29,,CAN,Aurelie TRAN,,
Gymnastique-artistique,Concours general femmes,30,,ITA,Elisa IORIO,,
Gymnastique-artistique,Concours general femmes,31,,ESP,Alba PETISCO,,
Gymnastique-artistique,Concours general femmes,32,,ESP,Laura CASABUENA,,
Gymnastique-artistique,Concours general femmes,33,,ESP,Ana PEREZ,,
Gymnastique-artistique,Concours general femmes,34,,ISR,Lihie RAZ,,
Gymnastique-artistique,Concours general femmes,35,,PHI,Emma MALABUYO,,
Gymnastique-artistique,Concours general femmes,36,,PHI,Aleah FINNEGAN,,
Gymnastique-artistique,Concours general femmes,37,,JPN,Mana OKAMURA,,
Gymnastique-artistique,Concours general femmes,38,,USA,Jordan CHILES,,
Gymnastique-artistique,Concours general femmes,39,,ROU,Lilia COSMAN,,
Gymnastique-artistique,Concours general femmes,40,,FRA,Morgane OSYSSEK-REIMER,,
Gymnastique-artistique,Concours general femmes,41,,NED,Tisha VOLLEMAN,,
Gymnastique-artistique,Concours general femmes,42,,EGY,Jana MAHMOUD,,
Gymnastique-artistique,Concours general femmes,43,,NED,Lieke WEVERS,,
Gymnastique-artistique,Concours general femmes,44,,SUI,Lena BICKEL,,
Gymnastique-artistique,Concours general femmes,45,,KOR,Yunseo LEE,,
Gymnastique-artistique,Concours general femmes,46,,MEX,Alexa MORENO,,
Gymnastique-artistique,Concours general femmes,47,,BRA,Jade BARBOSA,,
Gymnastique-artistique,Concours general femmes,48,,PHI,Levi RUIVIVAR,,
Gymnastique-artistique,Concours general femmes,49,,AUS,Emma NEDOV,,
Gymnastique-artistique,Concours general femmes,50,,UKR,Anna LASHCHEVSKA,,
Gymnastique-artistique,Concours general femmes,51,,SLO,Lucija HRIBAR,,
Gymnastique-artistique,Concours general femmes,52,,JPN,Kohane USHIOKU,,
Gymnastique-artistique,Concours general femmes,53,,MEX,Ahtziri SANDOVAL,,
Gymnastique-artistique,Concours general femmes,54,,MEX,Natalia ESCALERA,,
Gymnastique-artistique,Concours general femmes,55,,HAI,Lynnzee BROWN,,
Gymnastique-artistique,Concours general femmes,56,,PAN,Hillary HERON,,
Gymnastique-artistique,Concours general femmes,57,,GBR,Ruby EVANS,,
Gymnastique-artistique,Concours general femmes,58,,CZE,Sona ARTAMONOVA,,
Gymnastique-artistique,Concours general femmes,59,,FRA,Melanie DE JESUS DOS SANTOS,,
Gymnastique-artistique,Concours general femmes,60,,BEL,Maellyse BRASSART,,
Taekwondo,Plus de 80kg h,1,O,IRI,Arian SALIMI,,
Taekwondo,Plus de 80kg h,2,A,GBR,Caden CUNNINGHAM,,
Taekwondo,Plus de 80kg h,3,B,CIV,Cheick Sallah Junior CISSE,,
Taekwondo,Plus de 80kg h,4,B,CUB,Rafael ALBA CASTILLO,,
Taekwondo,Plus de 80kg h,5,=5,CRO,Ivan SAPINA,,
Taekwondo,Plus de 80kg h,6,=5,MEX,Carlos SANSORES,,
Taekwondo,Plus de 80kg h,7,=7,NIG,Abdoulrazak ISSOUFOU ALFAGA,,
Taekwondo,Plus de 80kg h,8,=7,UZB,Nikita RAFALOVICH,,
Taekwondo,Plus de 80kg h,9,=9,NOR,Richard Andre ORDEMANN,,
Taekwondo,Plus de 80kg h,10,=9,USA,Jonathan HEALY,,
Taekwondo,Plus de 80kg h,11,=11,CHN,Zhaoxiang SONG,,
Taekwondo,Plus de 80kg h,12,=11,XXB,Kasra MEHDIPOURNEJAD,,
Taekwondo,Plus de 80kg h,13,=11,GAM,Alasan ANN,,
Taekwondo,Plus de 80kg h,14,=11,GBS,Paivou Johnouario GOMIS,,
Taekwondo,Plus de 80kg h,15,=11,SLO,Patrik DIVKOVIC,,
Taekwondo,Plus de 80kg h,16,=11,TUR,Emre Kutalmis ATESLI,,
Taekwondo,Plus de 80kg h,17,17,PNG,Gibson Kaogo MARA,,
Natation,800m nage libre femmes,1,O,USA,Katie LEDECKY,8:11.04,
Natation,800m nage libre femmes,2,A,AUS,Ariarne TITMUS,8:12.29,
Natation,800m nage libre femmes,3,B,USA,Paige MADDEN,8:13.00,
Natation,800m nage libre femmes,4,4,ITA,Simona QUADARELLA,8:14.55,
Natation,800m nage libre femmes,5,5,GER,Isabel GOSE,8:17.82,
Natation,800m nage libre femmes,6,6,AUS,Lani PALLISTER,8:21.09,
Natation,800m nage libre femmes,7,7,FRA,Anastasiia KIRPICHNIKOVA,8:22.80,
Natation,800m nage libre femmes,8,8,NZL,Erika FAIRWEATHER,8:23.27,
Natation,800m nage libre femmes,9,9,CHN,Bingjie LI,,
Natation,800m nage libre femmes,10,10,BRA,Maria Fernanda COSTA,,
Natation,800m nage libre femmes,11,11,SGP,Ching Hwee GAN,,
Natation,800m nage libre femmes,12,12,NZL,Eve THOMAS,,
Natation,800m nage libre femmes,13,13,HUN,Ajna KESELY,,
Natation,800m nage libre femmes,14,14,ARG,Agostina HEIN,,
Natation,800m nage libre femmes,15,15,CHI,Kristel KOBRICH,,
Natation,800m nage libre femmes,16,16,TUN,Jamila BOULAKBECH,,
Tir-a-l-arc,Individuel femmes,1,O,KOR,Sihyeon LIM,,
Tir-a-l-arc,Individuel femmes,2,A,KOR,Suhyeon NAM,,
Tir-a-l-arc,Individuel femmes,3,B,FRA,Lisa BARBELIN,,
Tir-a-l-arc,Individuel femmes,4,4,KOR,Hunyoung JEON,,
Tir-a-l-arc,Individuel femmes,5,5,INA,Diananda CHOIRUNISA,,
Tir-a-l-arc,Individuel femmes,6,6,MEX,Alejandra VALENCIA,,
Tir-a-l-arc,Individuel femmes,7,7,IND,Deepika KUMARI,,
Tir-a-l-arc,Individuel femmes,8,8,TUR,Elif Berra GOKKIR,,
Tir-a-l-arc,Individuel femmes,9,=9,ROU,Madalina AMAISTROAIE,,
Tir-a-l-arc,Individuel femmes,10,=9,GBR,Megan HAVERS,,
Tir-a-l-arc,Individuel femmes,11,=9,IND,Bhajan KAUR,,
Tir-a-l-arc,Individuel femmes,12,=9,GER,Michelle KROPPEN,,
Tir-a-l-arc,Individuel femmes,13,=9,TPE,Chien-Ying LE,,
Tir-a-l-arc,Individuel femmes,14,=9,CHN,Jiaman LI,,
Tir-a-l-arc,Individuel femmes,15,=9,JPN,Satsuki NODA,,
Tir-a-l-arc,Individuel femmes,16,=9,BRA,Ana Luiza SLIACHTICAS CAETANO,,
Tir-a-l-arc,Individuel femmes,17,=17,FRA,Amelie CORDEAU,,
Tir-a-l-arc,Individuel femmes,18,=17,IRI,Mobina FALLAH,,
Tir-a-l-arc,Individuel femmes,19,=17,USA,Catalina GNORIEGA,,
Tir-a-l-arc,Individuel femmes,20,=17,CZE,Marie HORACKOVA,,
Tir-a-l-arc,Individuel femmes,21,=17,USA,Casey KAUFHOLD,,
Tir-a-l-arc,Individuel femmes,22,=17,FRA,Caroline LOPEZ,,
Tir-a-l-arc,Individuel femmes,23,=17,UKR,Veronika MARCHENKO,,
Tir-a-l-arc,Individuel femmes,24,=17,MAS,Syaqiera MASHAYIKH,,
Tir-a-l-arc,Individuel femmes,25,=17,POL,Wioleta MYSZOR,,
Tir-a-l-arc,Individuel femmes,26,=17,INA,Rezza OCTAVIA,,
Tir-a-l-arc,Individuel femmes,27,=17,GBR,Bryony PITMAN,,
Tir-a-l-arc,Individuel femmes,28,=17,AZE,Yaylagul RAMAZANOVA,,
Tir-a-l-arc,Individuel femmes,29,=17,ITA,Chiara REBAGLIATI,,
Tir-a-l-arc,Individuel femmes,30,=17,NED,Quinty ROEFFEN,,
Tir-a-l-arc,Individuel femmes,31,=17,GER,Charline SCHWARZ,,
Tir-a-l-arc,Individuel femmes,32,=17,CHN,Xiaolei YANG,,
Tir-a-l-arc,Individuel femmes,33,=33,UZB,Ziyodakhon ABDUSATTOROVA,,
Tir-a-l-arc,Individuel femmes,34,=33,EGY,Jana ALI,,
Tir-a-l-arc,Individuel femmes,35,=33,CHN,Qixuan AN,,
Tir-a-l-arc,Individuel femmes,36,=33,DEN,Kirstine DANSTRUP ANDERSEN,,
Tir-a-l-arc,Individuel femmes,37,=33,SVK,Denisa BARANKOVA,,
Tir-a-l-arc,Individuel femmes,38,=33,GER,Katharina BAUER,,
Tir-a-l-arc,Individuel femmes,39,=33,IND,Ankita BHAKAT,,
Tir-a-l-arc,Individuel femmes,40,=33,ESP,Elia CANALES,,
Tir-a-l-arc,Individuel femmes,41,=33,SMR,Giorgia CESARINI,,
Tir-a-l-arc,Individuel femmes,42,=33,CAN,Virginie CHENIER,,
Tir-a-l-arc,Individuel femmes,43,=33,TPE,Yi-Ching CHIU,,
Tir-a-l-arc,Individuel femmes,44,=33,VIE,Nguyet DO THI ANH,,
Tir-a-l-arc,Individuel femmes,45,=33,TUN,Rihab ELWALID,,
Tir-a-l-arc,Individuel femmes,46,=33,GBR,Penny HEALEY,,
Tir-a-l-arc,Individuel femmes,47,=33,INA,Syifa Nurafifah KAMAL,,
Tir-a-l-arc,Individuel femmes,48,=33,TPE,Tsai-Chi LI,,
Tir-a-l-arc,Individuel femmes,49,=33,MDA,Alexandra MIRCA,,
Tir-a-l-arc,Individuel femmes,50,=33,MAS,Nurul Azreena MOHAMAD FAZIL,,
Tir-a-l-arc,Individuel femmes,51,=33,MAS,Ariana Nur Dania MOHAMAD ZAIRI,,
Tir-a-l-arc,Individuel femmes,52,=33,ISR,Mikaella MOSHE,,
Tir-a-l-arc,Individuel femmes,53,=33,USA,Jennifer MUCINO-FERNANDEZ,,
Tir-a-l-arc,Individuel femmes,54,=33,AUS,Laura PAEGLIS,,
Tir-a-l-arc,Individuel femmes,55,=33,EST,Reena PARNAT,,
Tir-a-l-arc,Individuel femmes,56,=33,SLO,Zana PINTARIC,,
Tir-a-l-arc,Individuel femmes,57,=33,COL,Ana Maria RENDON,,
Tir-a-l-arc,Individuel femmes,58,=33,PUR,Alondra RIVERA,,
Tir-a-l-arc,Individuel femmes,59,=33,MEX,Angela RUIZ,,
Tir-a-l-arc,Individuel femmes,60,=33,NED,Gabriela BAYARDO,,
Tir-a-l-arc,Individuel femmes,61,=33,AUT,Elisabeth STRAKA,,
Tir-a-l-arc,Individuel femmes,62,=33,GUI,Fatoumata SYLLA,,
Tir-a-l-arc,Individuel femmes,63,=33,NED,Laura VAN DER WINKEL,,
Tir-a-l-arc,Individuel femmes,64,=33,MEX,Ana Paula VAZQUEZ FLORES,,
Tir,10m pistolet air femme,1,O,KOR,Ye Jin OH,243.2,
Tir,10m pistolet air femme,2,A,KOR,Yeji KIM,241.3,
Tir,10m pistolet air femme,3,B,IND,Manu Bhaker,221.7,
Tir,10m pistolet air femme,4,4,VIE,Thu Vinh TRINH,198.6,
Tir,10m pistolet air femme,5,5,CHN,Xue LI,178.2,
Tir,10m pistolet air femme,6,6,CHN,Ranxin JIANG,156.5,
Tir,10m pistolet air femme,7,7,TUR,Sevval Ilayda TARHAN,135.6,
Tir,10m pistolet air femme,8,8,HUN,Veronika MAJOR,114.0,
Tir,10m pistolet air femme,9,9,ARM,Elmira KARAPETYAN,,
Tir,10m pistolet air femme,10,10,SRB,Zorana ARUNOVIC,,
Tir,10m pistolet air femme,11,11,KAZ,Irina YUNUSMETOVA,,
Tir,10m pistolet air femme,12,12,EGY,Hala ELGOHARI,,
Tir,10m pistolet air femme,13,13,TPE,Heng Yu LIU,,
Tir,10m pistolet air femme,14,14,POL,Klaudia BRES,,
Tir,10m pistolet air femme,15,15,IND,Rhythm SANGWAN,,
Tir,10m pistolet air femme,16,16,BUL,Antoaneta BONEVA,,
Tir,10m pistolet air femme,17,17,MEX,Alejandra ZAVALA VAZQUEZ,,
Tir,10m pistolet air femme,18,18,FRA,Camille JEDRZEJEWSKI,,
Tir,10m pistolet air femme,19,19,UKR,Olena KOSTEVYCH,,
Tir,10m pistolet air femme,20,20,GER,Doreen VENNEKAMP,,
Tir,10m pistolet air femme,21,21,THA,Tanyaporn PRUCKSAKORN,,
Tir,10m pistolet air femme,22,22,IRI,Haniyeh ROSTAMIYAN,,
Tir,10m pistolet air femme,23,23,LAT,Agate RASMANE,,
Tir,10m pistolet air femme,24,24,USA,Katelyn Morgan ABELN,,
Tir,10m pistolet air femme,25,25,USA,Alexis LAGAN,,
Tir,10m pistolet air femme,26,26,ECU,Andrea PEREZ PEÑA,,
Tir,10m pistolet air femme,27,27,AUT,Sylvia STEINER,,
Tir,10m pistolet air femme,28,28,MDA,Anna DULCE,,
Tir,10m pistolet air femme,29,29,GRE,Christina MOSCHI,,
Tir,10m pistolet air femme,30,30,GER,Josefin EDER,,
Tir,10m pistolet air femme,31,31,PAK,Kishmala TALAT,,
Tir,10m pistolet air femme,32,32,SGP,Xiu Hong TEH,,
Tir,10m pistolet air femme,33,33,HUN,Sara Rahel FABIAN,,
Tir,10m pistolet air femme,34,34,TUN,Olfa CHARNI,,
Tir,10m pistolet air femme,35,35,TPE,Ai Wen YU,,
Tir,10m pistolet air femme,36,36,THA,Kamonlak SAENCHA,,
Tir,10m pistolet air femme,37,37,AUS,Elena GALIABOVITCH,,
Tir,10m pistolet air femme,38,38,GEO,Nino SALUKVADZE,,
Tir,10m pistolet air femme,39,39,CUB,Laina PEREZ,,
Tir,10m pistolet air femme,40,40,YEM,Yasameen AL-RAIMI,,
Tir,10m pistolet air femme,41,41,ECU,Diana DURANGO FLORES,,
Tir,10m pistolet air femme,42,42,TUR,Simal YILMAZ,,
Tir,10m pistolet air femme,43,43,ALB,Manjola KONINI,,
Tir,10m pistolet air femme,44,44,GRE,Anna KORAKAKI,,
Tir,10m pistolet air femme,45,,EGY,Nour Abbas MOHAMMED,,
Aviron,Deux sans barreur femmes,1,O,NED,Ymkje CLEVERING / Veronique MEESTER,,
Aviron,Deux sans barreur femmes,2,A,ROU,Ioana VRINCEANU / Roxana ANGHEL,,
Aviron,Deux sans barreur femmes,3,B,AUS,Jessica MORRISON / Annabelle MCINTYRE,,
Aviron,Deux sans barreur femmes,4,4,USA,Azja CZAJKOWSKI / Jessica THOENNES,,
Aviron,Deux sans barreur femmes,5,5,LTU,Kamile KRALIKAITE / Ieva ADOMAVICIUTE,,
Aviron,Deux sans barreur femmes,6,6,GRE,Evangelia ANASTASIADOU / Christina Ioanna BOURMPOU,,
Aviron,Deux sans barreur femmes,7,7,ESP,Aina CID I CENTELLES / Esther BRIZ ZAMORANO,,
Aviron,Deux sans barreur femmes,8,8,IRL,Aifric KEOGH / Fiona MURTAGH,,
Aviron,Deux sans barreur femmes,9,9,CHI,Melita ABRAHAM / Antonia ABRAHAM,,
Aviron,Deux sans barreur femmes,10,10,CZE,Radka NOVOTNIKOVA / Pavlina FLAMIKOVA,,
Aviron,Deux sans barreur femmes,11,11,DEN,Hedvig RASMUSSEN / Fie Udby ERICHSEN,,
Aviron,Deux sans barreur femmes,12,12,GBR,Rebecca EDWARDS / Chloe BREW,,
Aviron,Deux sans barreur femmes,13,13,NZL,Kate HAINES / Alana SHERMAN,,
Natation,Relais 4x100m nage libre femmes,1,O,N/A,Australie,3:28.92,
Natation,Relais 4x100m nage libre femmes,2,A,N/A,États-Unis d'Amérique,3:30.20,
Natation,Relais 4x100m nage libre femmes,3,B,N/A,République populaire de Chine,3:30.30,
Natation,Relais 4x100m nage libre femmes,4,4,N/A,Canada,3:32.99,
Natation,Relais 4x100m nage libre femmes,5,5,N/A,Suède,3:33.79,
Natation,Relais 4x100m nage libre femmes,6,6,N/A,France,3:34.99,
Natation,Relais 4x100m nage libre femmes,7,7,N/A,Grande-Bretagne,3:35.25,
Natation,Relais 4x100m nage libre femmes,8,8,N/A,Italie,3:36.51,
Natation,Relais 4x100m nage libre femmes,9,9,N/A,Pays-Bas,,
Natation,Relais 4x100m nage libre femmes,10,10,N/A,Hongrie,,
Natation,Relais 4x100m nage libre femmes,11,11,N/A,Danemark,,
Natation,Relais 4x100m nage libre femmes,12,12,N/A,Brésil,,
Natation,Relais 4x100m nage libre femmes,13,13,N/A,Pologne,,
Natation,Relais 4x100m nage libre femmes,14,14,N/A,Slovénie,,
Natation,Relais 4x100m nage libre femmes,15,15,N/A,"Hong Kong, Chine",,
Natation,Relais 4x100m nage libre femmes,16,16,N/A,Irlande,,
Cyclisme-sur-piste,Poursuite par equipes femmes,1,O,N/A,États-Unis d'Amérique,,
Cyclisme-sur-piste,Poursuite par equipes femmes,2,A,N/A,Nouvelle-Zélande,,
Cyclisme-sur-piste,Poursuite par equipes femmes,3,B,N/A,Grande-Bretagne,4:06.382,
Cyclisme-sur-piste,Poursuite par equipes femmes,4,4,N/A,Italie,4:08.961,
Cyclisme-sur-piste,Poursuite par equipes femmes,5,5,N/A,France,,
Cyclisme-sur-piste,Poursuite par equipes femmes,6,6,N/A,Allemagne,,
Cyclisme-sur-piste,Poursuite par equipes femmes,7,7,N/A,Australie,,
Cyclisme-sur-piste,Poursuite par equipes femmes,8,8,N/A,Canada,,
Cyclisme-sur-piste,Poursuite par equipes femmes,9,9,N/A,Irlande,,
Cyclisme-sur-piste,Poursuite par equipes femmes,10,10,N/A,Japon,,
Aviron,Huit hommes,1,O,N/A,Grande-Bretagne,5:22.88,
Aviron,Huit hommes,2,A,N/A,Pays-Bas,5:23.92,
Aviron,Huit hommes,3,B,N/A,États-Unis d'Amérique,5:25.28,
Aviron,Huit hommes,4,4,N/A,Allemagne,5:29.80,
Aviron,Huit hommes,5,5,N/A,Roumanie,5:30.15,
Aviron,Huit hommes,6,6,N/A,Australie,5:31.79,
Aviron,Huit hommes,7,7,N/A,Italie,,
Gymnastique-trampoline,Femme,1,O,GBR,Bryony PAGE,56.480,
Gymnastique-trampoline,Femme,2,A,MIX,Viyaleta BARDZILOUSKAYA,56.060,
Gymnastique-trampoline,Femme,3,B,CAN,Sophiane METHOT,55.650,
Gymnastique-trampoline,Femme,4,4,CHN,Xueying ZHU,55.510,
Gymnastique-trampoline,Femme,5,5,MIX,Anzhela BLADTCEVA,55.020,
Gymnastique-trampoline,Femme,6,6,JPN,Hikaru MORI,54.740,
Gymnastique-trampoline,Femme,7,7,NZL,Madaline DAVIDSON,54.230,
Gymnastique-trampoline,Femme,8,8,CHN,Yicheng HU,11.790,
Gymnastique-trampoline,Femme,9,9,ESP,Noemi ROMERO ROSARIO,,
Gymnastique-trampoline,Femme,10,10,AZE,Seljan MAHSUDOVA,,
Gymnastique-trampoline,Femme,11,11,GEO,Luba GOLOVINA,,
Gymnastique-trampoline,Femme,12,12,FRA,Lea LABROUSSE,,
Gymnastique-trampoline,Femme,13,13,USA,Jessica STEVENS,,
Gymnastique-trampoline,Femme,14,14,GBR,Isabelle SONGHURST,,
Gymnastique-trampoline,Femme,15,15,BRA,Camilla GOMES,,
Gymnastique-trampoline,Femme,16,16,EGY,Malak HAMZA,,
Lutte,Lutte libre 65kg hommes,1,O,JPN,Kotaro KIYOOKA,13,
Lutte,Lutte libre 65kg hommes,2,A,IRI,Rahman AMOUZADKHALILI,12,
Lutte,Lutte libre 65kg hommes,3,B,PUR,Sebastian C RIVERA,12,
Lutte,Lutte libre 65kg hommes,4,B,ALB,Islam DUDAEV,12,
Lutte,Lutte libre 65kg hommes,5,=5,MGL,Tulga TUMUR OCHIR,8,
Lutte,Lutte libre 65kg hommes,6,=5,HUN,Iszmail MUSZUKAJEV,8,
Lutte,Lutte libre 65kg hommes,7,7,ARM,Vazgen TEVANYAN,5,
Lutte,Lutte libre 65kg hommes,8,8,AZE,Haji ALIYEV,4,
Lutte,Lutte libre 65kg hommes,9,9,MDA,Maxim SACULTAN,1,
Lutte,Lutte libre 65kg hommes,10,10,AUS,Georgii OKOROKOV,1,
Lutte,Lutte libre 65kg hommes,11,11,CUB,Alejandro Enrique VALDES TOBIER,0,
Lutte,Lutte libre 65kg hommes,12,12,MEX,Austin Klee GOMEZ,0,
Lutte,Lutte libre 65kg hommes,13,13,USA,Zain Allen RETHERFORD,0,
Lutte,Lutte libre 65kg hommes,14,14,SAM,Gaku AKAZAWA,0,
Lutte,Lutte libre 65kg hommes,15,15,GEO,Goderdzi DZEBISASHVILI,0,
Lutte,Lutte libre 65kg hommes,16,16,KGZ,Ernazar AKMATALIEV,0,
Aviron,Huit femmes,1,O,N/A,Roumanie,,
Aviron,Huit femmes,2,A,N/A,Canada,,
Aviron,Huit femmes,3,B,N/A,Grande-Bretagne,,
Aviron,Huit femmes,4,4,N/A,Australie,,
Aviron,Huit femmes,5,5,N/A,États-Unis d'Amérique,,
Aviron,Huit femmes,6,6,N/A,Italie,,
Aviron,Huit femmes,7,7,N/A,Danemark,,
Gymnastique-artistique,Poutre femmes,1,O,ITA,Alice D'AMATO,14.366,
Gymnastique-artistique,Poutre femmes,2,A,CHN,Yaqin ZHOU,14.100,
Gymnastique-artistique,Poutre femmes,3,B,ITA,Manila ESPOSITO,14.000,
Gymnastique-artistique,Poutre femmes,4,4,BRA,Rebeca ANDRADE,13.933,
Gymnastique-artistique,Poutre femmes,5,5,USA,Simone BILES,13.100,
Gymnastique-artistique,Poutre femmes,6,6,USA,Sunisa LEE,13.100,
Gymnastique-artistique,Poutre femmes,7,7,BRA,Julia SOARES,12.333,
Gymnastique-artistique,Poutre femmes,8,8,ROU,Sabrina MANECA-VOINEA,11.733,
